Cultivo,Ubicación,Tamaño,Rendimiento,Fertilizantes
banano,Almeria,Pequeña,8.92,True
banano,Valencia,Grande,5.25,False
banano,Canarias,Grande,2.19,False
maíz,Murcia,Mediana,9.41,False
maíz,Valencia,Pequeña,2.19,True
banano,Valencia,Mediana,5.03,False
arroz,Canarias,Mediana,9.45,True
trigo,Valencia,Pequeña,2.12,True
cacao,Almeria,Grande,2.29,False
cacao,Canarias,Pequeña,4.03,True
arroz,Valencia,Grande,5.93,True
maíz,Canarias,Grande,2.52,False
arroz,Granada,Mediana,7.47,True
maíz,Granada,Mediana,1.07,False
maíz,Almeria,Pequeña,3.59,False
arroz,Granada,Pequeña,7.69,False
cacao,Murcia,Pequeña,5.81,True
maíz,Almeria,Pequeña,9.17,False
arroz,Murcia,Pequeña,1.63,False
arroz,Valencia,Grande,3.3,False
trigo,Almeria,Pequeña,1.3,True
banano,Valencia,Pequeña,2.69,True
trigo,Almeria,Mediana,7.03,False
cacao,Murcia,Mediana,4.12,True
café,Murcia,Mediana,2.81,True
arroz,Canarias,Pequeña,3.67,True
café,Almeria,Grande,7.19,False
cacao,Granada,Grande,5.02,False
maíz,Granada,Mediana,2.41,True
trigo,Murcia,Grande,1.49,True
banano,Valencia,Grande,9.03,True
café,Valencia,Pequeña,1.13,True
arroz,Granada,Grande,3.62,True
maíz,Canarias,Grande,2.82,False
arroz,Valencia,Pequeña,6.97,False
arroz,Granada,Pequeña,6.7,True
maíz,Granada,Mediana,7.14,True
café,Valencia,Mediana,1.4,False
maíz,Murcia,Pequeña,6.28,False
arroz,Granada,Grande,3.82,True
maíz,Granada,Pequeña,3.26,True
banano,Canarias,Pequeña,2.89,True
cacao,Almeria,Pequeña,9.92,True
café,Valencia,Mediana,1.79,True
café,Valencia,Pequeña,2.77,True
cacao,Valencia,Pequeña,1.95,False
café,Almeria,Pequeña,7.06,False
cacao,Almeria,Pequeña,1.18,True
banano,Canarias,Grande,4.88,False
maíz,Granada,Grande,8.41,True
café,Canarias,Grande,7.41,True
cacao,Murcia,Grande,3.27,True
banano,Granada,Pequeña,4.05,True
maíz,Almeria,Pequeña,2.6,True
banano,Almeria,Pequeña,1.96,False
cacao,Valencia,Grande,6.74,True
trigo,Valencia,Grande,6.12,False
banano,Granada,Grande,8.03,False
trigo,Almeria,Grande,8.53,True
banano,Valencia,Mediana,5.93,False
cacao,Valencia,Grande,1.37,False
trigo,Almeria,Pequeña,1.16,False
trigo,Granada,Grande,7.32,False
trigo,Almeria,Grande,3.22,True
banano,Valencia,Mediana,7.44,False
banano,Valencia,Mediana,9.7,False
café,Almeria,Mediana,8.77,True
arroz,Murcia,Pequeña,5.15,False
café,Valencia,Mediana,9.33,True
banano,Canarias,Pequeña,8.24,False
café,Murcia,Pequeña,3.79,False
arroz,Canarias,Grande,2.85,True
banano,Valencia,Grande,3.04,True
cacao,Valencia,Mediana,8.24,False
maíz,Valencia,Grande,7.81,False
arroz,Almeria,Mediana,7.19,False
café,Valencia,Mediana,7.45,True
banano,Granada,Pequeña,7.78,True
cacao,Murcia,Grande,1.21,True
maíz,Granada,Pequeña,2.89,True
arroz,Canarias,Grande,2.33,True
banano,Granada,Mediana,1.71,True
cacao,Murcia,Mediana,9.8,False
arroz,Murcia,Grande,1.68,False
cacao,Granada,Grande,2.1,True
banano,Granada,Mediana,4.57,True
trigo,Almeria,Grande,5.52,False
maíz,Canarias,Grande,2.82,True
maíz,Valencia,Mediana,6.17,False
cacao,Murcia,Pequeña,6.86,True
café,Valencia,Pequeña,4.13,False
banano,Almeria,Pequeña,2.95,False
maíz,Canarias,Grande,7.27,True
café,Granada,Mediana,9.79,True
maíz,Granada,Grande,8.31,False
cacao,Canarias,Grande,8.68,False
banano,Valencia,Mediana,2.96,False
café,Canarias,Pequeña,1.09,False
cacao,Almeria,Mediana,4.71,False
café,Valencia,Mediana,5.04,False
banano,Granada,Grande,7.53,False
café,Canarias,Pequeña,5.94,True
trigo,Granada,Pequeña,8.39,False
maíz,Granada,Grande,3.87,False
cacao,Valencia,Grande,3.75,False
trigo,Canarias,Grande,3.64,True
cacao,Valencia,Grande,5.84,True
banano,Almeria,Mediana,7.31,True
arroz,Valencia,Grande,3.29,False
banano,Canarias,Pequeña,9.08,False
cacao,Valencia,Grande,8.3,True
maíz,Granada,Mediana,9.44,False
maíz,Murcia,Mediana,8.48,False
maíz,Almeria,Mediana,6.4,True
cacao,Murcia,Pequeña,5.29,False
cacao,Granada,Pequeña,1.5,False
maíz,Valencia,Grande,4.33,True
café,Murcia,Mediana,3.12,False
maíz,Almeria,Pequeña,1.09,False
cacao,Murcia,Mediana,1.5,False
café,Granada,Pequeña,4.75,True
maíz,Murcia,Mediana,9.26,False
cacao,Murcia,Grande,3.68,True
banano,Almeria,Grande,2.94,True
banano,Murcia,Mediana,6.49,True
banano,Valencia,Grande,4.18,True
arroz,Murcia,Pequeña,2.16,False
trigo,Murcia,Grande,5.79,True
trigo,Murcia,Pequeña,6.59,False
maíz,Valencia,Pequeña,7.72,True
arroz,Almeria,Grande,5.29,True
cacao,Murcia,Mediana,9.92,True
arroz,Almeria,Mediana,3.59,False
café,Murcia,Grande,8.25,True
café,Valencia,Pequeña,4.87,False
trigo,Murcia,Mediana,7.13,False
maíz,Granada,Mediana,8.07,True
cacao,Almeria,Pequeña,9.9,True
cacao,Almeria,Pequeña,6.1,True
arroz,Canarias,Pequeña,8.99,False
maíz,Canarias,Grande,6.39,True
cacao,Valencia,Pequeña,2.0,False
maíz,Valencia,Grande,6.58,True
trigo,Almeria,Pequeña,3.77,True
maíz,Granada,Mediana,3.86,True
trigo,Almeria,Mediana,4.17,False
trigo,Murcia,Grande,2.86,False
banano,Granada,Mediana,6.26,True
banano,Granada,Pequeña,8.04,True
café,Granada,Pequeña,2.33,True
arroz,Granada,Pequeña,5.79,False
banano,Granada,Mediana,4.62,True
banano,Valencia,Grande,3.84,True
cacao,Valencia,Pequeña,6.39,False
cacao,Granada,Pequeña,4.66,False
trigo,Almeria,Grande,1.5,True
banano,Granada,Grande,7.25,True
trigo,Canarias,Grande,4.84,True
banano,Canarias,Mediana,2.51,True
maíz,Murcia,Mediana,1.16,True
banano,Almeria,Pequeña,1.17,True
cacao,Valencia,Pequeña,8.78,True
café,Almeria,Mediana,7.82,True
café,Canarias,Grande,1.45,True
café,Valencia,Mediana,6.26,True
banano,Granada,Pequeña,8.86,True
trigo,Murcia,Mediana,4.63,False
café,Canarias,Grande,6.82,True
trigo,Almeria,Pequeña,8.61,True
café,Granada,Grande,3.59,True
maíz,Canarias,Grande,3.28,False
maíz,Valencia,Pequeña,1.58,False
café,Valencia,Pequeña,3.76,True
arroz,Valencia,Mediana,5.38,True
trigo,Valencia,Mediana,4.06,False
maíz,Valencia,Grande,4.38,False
cacao,Murcia,Grande,8.62,True
trigo,Almeria,Grande,1.49,True
arroz,Canarias,Grande,8.47,False
maíz,Murcia,Pequeña,7.31,False
banano,Murcia,Grande,3.51,True
trigo,Murcia,Mediana,3.3,False
café,Murcia,Grande,1.48,False
cacao,Granada,Pequeña,3.46,False
café,Murcia,Grande,8.77,False
banano,Valencia,Pequeña,1.48,True
café,Valencia,Pequeña,6.03,True
maíz,Murcia,Pequeña,2.95,False
maíz,Valencia,Grande,5.19,False
banano,Murcia,Grande,5.62,True
arroz,Almeria,Pequeña,8.25,True
maíz,Murcia,Pequeña,9.04,False
banano,Almeria,Pequeña,4.0,False
maíz,Granada,Pequeña,1.51,False
maíz,Almeria,Grande,5.06,False
trigo,Granada,Grande,7.07,False
maíz,Granada,Grande,7.05,True
banano,Valencia,Pequeña,8.68,False
arroz,Almeria,Pequeña,4.43,False
banano,Granada,Grande,6.87,True
café,Almeria,Grande,5.53,False
cacao,Almeria,Grande,4.48,True
maíz,Granada,Pequeña,7.46,True
maíz,Valencia,Grande,5.39,True
trigo,Almeria,Grande,3.45,True
maíz,Granada,Mediana,6.96,True
cacao,Canarias,Grande,6.2,True
arroz,Almeria,Mediana,1.39,False
arroz,Almeria,Mediana,1.27,True
banano,Almeria,Pequeña,7.07,True
cacao,Granada,Pequeña,3.19,True
trigo,Canarias,Pequeña,1.45,True
cacao,Valencia,Grande,6.24,False
arroz,Canarias,Pequeña,1.58,True
trigo,Almeria,Mediana,7.67,False
arroz,Almeria,Pequeña,3.29,False
cacao,Granada,Grande,8.85,True
trigo,Granada,Mediana,9.55,False
café,Valencia,Pequeña,5.02,True
arroz,Murcia,Pequeña,9.53,True
cacao,Murcia,Grande,6.77,True
cacao,Valencia,Mediana,9.67,True
banano,Canarias,Grande,5.84,True
café,Granada,Grande,1.81,True
arroz,Granada,Pequeña,2.94,False
banano,Canarias,Mediana,1.98,False
café,Granada,Pequeña,5.37,True
café,Valencia,Mediana,9.42,True
arroz,Almeria,Pequeña,3.67,False
maíz,Murcia,Grande,3.03,True
banano,Murcia,Grande,5.84,True
café,Canarias,Mediana,3.63,False
maíz,Murcia,Grande,1.5,False
banano,Murcia,Pequeña,1.54,False
maíz,Almeria,Grande,5.34,True
banano,Granada,Mediana,1.74,True
café,Canarias,Mediana,2.85,False
banano,Almeria,Mediana,1.91,False
maíz,Valencia,Grande,2.47,False
banano,Canarias,Grande,6.26,False
trigo,Murcia,Pequeña,2.65,True
café,Murcia,Grande,3.56,True
trigo,Granada,Grande,4.75,False
banano,Valencia,Pequeña,9.6,True
cacao,Granada,Mediana,2.6,True
arroz,Murcia,Mediana,3.19,True
arroz,Granada,Pequeña,7.45,True
arroz,Valencia,Mediana,9.4,False
cacao,Valencia,Pequeña,3.74,False
café,Canarias,Mediana,3.22,False
trigo,Canarias,Grande,2.47,True
trigo,Granada,Mediana,8.95,False
cacao,Valencia,Pequeña,6.51,False
arroz,Canarias,Pequeña,4.07,True
trigo,Granada,Mediana,3.68,False
banano,Valencia,Pequeña,9.94,True
arroz,Murcia,Pequeña,2.53,False
trigo,Canarias,Mediana,6.65,True
maíz,Almeria,Mediana,5.18,True
trigo,Valencia,Grande,8.95,True
arroz,Murcia,Mediana,8.53,False
arroz,Granada,Pequeña,7.27,True
banano,Almeria,Mediana,5.85,True
café,Granada,Grande,6.84,False
banano,Granada,Grande,9.1,False
banano,Granada,Mediana,3.9,True
café,Canarias,Mediana,9.99,True
banano,Murcia,Pequeña,7.85,True
maíz,Murcia,Pequeña,5.19,True
arroz,Murcia,Mediana,7.71,True
trigo,Granada,Grande,2.29,True
arroz,Murcia,Mediana,7.95,False
cacao,Granada,Pequeña,4.13,True
banano,Almeria,Mediana,3.06,False
cacao,Valencia,Pequeña,5.88,False
maíz,Canarias,Mediana,7.22,True
cacao,Canarias,Grande,8.51,True
banano,Almeria,Grande,5.7,True
arroz,Almeria,Pequeña,3.09,False
maíz,Almeria,Mediana,1.23,True
cacao,Almeria,Pequeña,9.45,True
cacao,Valencia,Mediana,9.67,True
maíz,Murcia,Mediana,3.34,False
arroz,Almeria,Pequeña,6.47,True
cacao,Granada,Pequeña,1.63,False
cacao,Almeria,Mediana,7.63,False
maíz,Valencia,Pequeña,1.65,False
cacao,Canarias,Pequeña,1.39,False
arroz,Canarias,Mediana,2.37,False
arroz,Canarias,Mediana,2.43,False
trigo,Almeria,Mediana,3.08,True
trigo,Murcia,Pequeña,5.26,False
banano,Granada,Mediana,5.78,False
banano,Granada,Mediana,4.62,True
banano,Valencia,Pequeña,7.14,False
banano,Almeria,Pequeña,1.45,True
maíz,Almeria,Mediana,8.07,True
banano,Murcia,Mediana,2.77,False
cacao,Granada,Grande,7.95,True
arroz,Canarias,Grande,3.65,False
café,Valencia,Mediana,9.92,True
arroz,Canarias,Pequeña,6.33,True
trigo,Granada,Mediana,4.69,True
banano,Murcia,Grande,5.64,True
arroz,Valencia,Mediana,5.14,False
arroz,Canarias,Pequeña,2.77,False
arroz,Valencia,Grande,4.13,True
arroz,Murcia,Pequeña,2.35,False
banano,Valencia,Grande,5.39,True
maíz,Granada,Pequeña,2.93,True
café,Canarias,Grande,3.01,False
café,Almeria,Mediana,1.7,True
cacao,Murcia,Grande,3.59,False
cacao,Murcia,Mediana,4.74,True
banano,Valencia,Pequeña,7.28,True
banano,Murcia,Mediana,1.19,True
café,Granada,Mediana,6.16,False
trigo,Canarias,Grande,3.49,True
trigo,Murcia,Grande,1.02,False
trigo,Granada,Mediana,7.54,True
cacao,Valencia,Mediana,5.72,True
cacao,Murcia,Grande,3.27,False
maíz,Almeria,Pequeña,6.61,True
café,Almeria,Mediana,3.96,False
maíz,Valencia,Grande,5.8,False
café,Valencia,Grande,3.24,True
trigo,Canarias,Mediana,9.17,True
trigo,Canarias,Grande,6.97,False
banano,Canarias,Pequeña,9.65,False
trigo,Valencia,Grande,3.12,True
cacao,Valencia,Mediana,4.0,True
cacao,Murcia,Mediana,8.4,True
trigo,Granada,Pequeña,4.58,False
café,Canarias,Mediana,5.41,False
banano,Canarias,Grande,1.09,True
banano,Canarias,Pequeña,8.2,True
banano,Granada,Mediana,2.92,False
cacao,Almeria,Pequeña,9.24,False
cacao,Almeria,Grande,9.22,True
café,Granada,Mediana,2.97,True
arroz,Murcia,Mediana,4.56,True
trigo,Granada,Mediana,3.94,True
cacao,Almeria,Grande,8.05,False
cacao,Canarias,Mediana,4.96,False
cacao,Almeria,Mediana,6.82,False
cacao,Granada,Mediana,9.26,True
café,Almeria,Grande,7.95,False
cacao,Canarias,Mediana,1.62,False
arroz,Valencia,Mediana,3.64,True
café,Murcia,Mediana,4.71,False
banano,Canarias,Grande,9.85,False
cacao,Murcia,Pequeña,9.29,False
maíz,Canarias,Pequeña,3.16,True
cacao,Valencia,Grande,1.5,True
banano,Granada,Grande,7.12,False
banano,Murcia,Pequeña,9.81,True
cacao,Canarias,Mediana,4.57,False
banano,Valencia,Grande,2.99,True
café,Valencia,Pequeña,7.61,False
café,Granada,Pequeña,1.88,False
cacao,Almeria,Mediana,1.28,False
arroz,Valencia,Mediana,8.67,False
cacao,Canarias,Mediana,9.46,True
arroz,Valencia,Mediana,4.74,True
maíz,Almeria,Grande,5.83,True
cacao,Canarias,Mediana,2.34,False
trigo,Canarias,Grande,3.04,True
trigo,Almeria,Mediana,6.73,False
café,Murcia,Pequeña,5.2,True
trigo,Almeria,Pequeña,6.43,True
café,Canarias,Pequeña,6.35,False
trigo,Almeria,Grande,8.77,False
cacao,Murcia,Mediana,7.98,True
café,Valencia,Mediana,7.56,True
cacao,Valencia,Pequeña,2.0,True
maíz,Granada,Grande,3.11,True
banano,Granada,Pequeña,1.97,True
arroz,Granada,Grande,4.55,False
arroz,Murcia,Grande,9.32,False
maíz,Almeria,Grande,5.4,False
cacao,Canarias,Pequeña,8.66,True
cacao,Valencia,Pequeña,7.3,True
café,Murcia,Grande,9.26,False
banano,Canarias,Pequeña,3.9,False
cacao,Granada,Grande,7.67,False
maíz,Murcia,Pequeña,1.04,False
maíz,Murcia,Pequeña,8.55,False
cacao,Canarias,Grande,1.43,True
cacao,Almeria,Grande,3.33,True
trigo,Canarias,Mediana,9.01,False
cacao,Granada,Mediana,8.79,False
trigo,Granada,Mediana,9.68,False
trigo,Murcia,Grande,6.4,False
cacao,Murcia,Mediana,5.45,True
banano,Granada,Grande,2.72,False
maíz,Valencia,Pequeña,6.26,True
cacao,Murcia,Grande,8.32,False
maíz,Murcia,Mediana,5.1,False
café,Almeria,Grande,6.62,True
maíz,Almeria,Mediana,4.63,True
cacao,Granada,Mediana,2.37,False
arroz,Canarias,Mediana,6.65,True
cacao,Canarias,Pequeña,8.27,True
cacao,Almeria,Pequeña,9.52,True
trigo,Valencia,Grande,3.16,True
café,Murcia,Pequeña,6.48,False
café,Canarias,Grande,6.6,True
maíz,Canarias,Mediana,4.08,True
banano,Granada,Grande,5.93,True
maíz,Almeria,Pequeña,3.84,False
cacao,Valencia,Grande,9.6,False
trigo,Almeria,Pequeña,9.24,True
arroz,Canarias,Grande,2.79,False
arroz,Murcia,Grande,2.07,True
café,Granada,Pequeña,9.16,False
maíz,Granada,Mediana,1.17,False
café,Murcia,Pequeña,4.09,True
arroz,Murcia,Mediana,9.38,False
arroz,Canarias,Pequeña,7.27,True
café,Almeria,Grande,6.21,False
arroz,Canarias,Mediana,4.15,True
maíz,Valencia,Pequeña,8.57,False
maíz,Almeria,Mediana,7.07,False
cacao,Granada,Mediana,6.72,True
trigo,Granada,Mediana,7.27,False
maíz,Murcia,Grande,9.2,False
café,Valencia,Pequeña,2.69,False
cacao,Valencia,Mediana,4.61,True
café,Valencia,Mediana,7.45,True
maíz,Valencia,Grande,1.91,False
cacao,Valencia,Mediana,8.17,False
maíz,Valencia,Grande,5.83,False
maíz,Murcia,Mediana,6.83,False
arroz,Canarias,Pequeña,2.52,False
café,Almeria,Pequeña,6.4,False
cacao,Granada,Pequeña,9.14,True
maíz,Almeria,Pequeña,5.62,True
maíz,Granada,Pequeña,5.02,True
café,Valencia,Grande,7.59,False
arroz,Almeria,Pequeña,7.7,True
café,Almeria,Mediana,9.81,True
café,Granada,Grande,1.94,False
maíz,Canarias,Pequeña,9.7,True
cacao,Valencia,Grande,4.06,True
café,Almeria,Pequeña,9.55,False
café,Canarias,Grande,4.3,False
trigo,Canarias,Pequeña,6.4,True
cacao,Valencia,Pequeña,3.14,False
cacao,Almeria,Mediana,7.14,True
arroz,Valencia,Mediana,1.96,False
banano,Granada,Mediana,9.17,False
arroz,Murcia,Grande,3.24,True
arroz,Murcia,Grande,3.01,True
trigo,Murcia,Mediana,9.72,False
banano,Murcia,Grande,6.43,True
arroz,Granada,Grande,5.34,True
arroz,Valencia,Pequeña,7.16,False
cacao,Canarias,Pequeña,4.86,False
maíz,Valencia,Pequeña,4.68,True
trigo,Granada,Grande,1.62,True
trigo,Valencia,Pequeña,9.16,True
café,Almeria,Pequeña,7.42,False
cacao,Murcia,Mediana,6.4,False
trigo,Almeria,Grande,2.09,True
cacao,Almeria,Grande,8.62,True
café,Valencia,Pequeña,2.98,False
arroz,Granada,Mediana,9.6,True
cacao,Granada,Grande,2.06,False
banano,Canarias,Pequeña,5.11,True
cacao,Murcia,Pequeña,8.01,False
trigo,Valencia,Mediana,3.97,False
café,Murcia,Pequeña,8.71,False
trigo,Murcia,Pequeña,4.97,False
maíz,Canarias,Mediana,6.08,False
maíz,Granada,Pequeña,1.87,True
banano,Almeria,Grande,7.63,False
cacao,Canarias,Mediana,4.23,False
café,Murcia,Mediana,3.12,False
café,Valencia,Pequeña,3.54,True
banano,Valencia,Mediana,7.12,False
banano,Canarias,Pequeña,5.66,False
café,Canarias,Grande,2.19,False
maíz,Granada,Pequeña,7.03,False
cacao,Murcia,Pequeña,6.53,True
banano,Murcia,Grande,7.06,True
maíz,Canarias,Mediana,9.07,False
cacao,Canarias,Mediana,7.3,False
banano,Canarias,Mediana,7.76,False
trigo,Granada,Grande,5.02,False
cacao,Canarias,Pequeña,5.48,True
cacao,Granada,Mediana,4.04,False
café,Murcia,Grande,3.49,False
maíz,Almeria,Mediana,3.55,False
maíz,Almeria,Pequeña,7.26,False
banano,Almeria,Pequeña,9.03,True
café,Valencia,Pequeña,4.3,False
maíz,Valencia,Pequeña,6.74,True
cacao,Almeria,Pequeña,5.66,False
café,Canarias,Pequeña,8.43,True
trigo,Granada,Pequeña,3.22,True
arroz,Canarias,Grande,8.3,True
trigo,Almeria,Pequeña,5.64,True
maíz,Murcia,Pequeña,8.24,False
arroz,Almeria,Grande,8.84,True
café,Valencia,Mediana,9.45,False
cacao,Canarias,Grande,3.67,False
café,Murcia,Grande,9.89,True
banano,Granada,Grande,5.16,True
banano,Almeria,Pequeña,5.4,False
café,Almeria,Grande,3.22,True
banano,Granada,Pequeña,7.91,False
café,Almeria,Pequeña,1.11,False
arroz,Canarias,Pequeña,6.42,False
café,Murcia,Mediana,4.95,True
maíz,Murcia,Mediana,9.56,False
banano,Canarias,Mediana,3.98,False
cacao,Canarias,Mediana,5.53,True
cacao,Valencia,Grande,5.51,False
arroz,Valencia,Mediana,3.56,True
trigo,Granada,Pequeña,5.42,False
maíz,Valencia,Pequeña,3.72,True
banano,Canarias,Mediana,3.39,True
maíz,Almeria,Pequeña,8.18,True
banano,Murcia,Mediana,4.8,False
trigo,Murcia,Mediana,7.16,True
cacao,Canarias,Mediana,8.17,True
maíz,Granada,Pequeña,8.23,False
maíz,Murcia,Mediana,4.18,False
arroz,Murcia,Grande,6.27,True
maíz,Valencia,Pequeña,3.31,True
arroz,Murcia,Pequeña,9.58,True
arroz,Granada,Grande,1.67,False
café,Murcia,Grande,6.1,False
cacao,Granada,Grande,1.97,True
maíz,Valencia,Mediana,5.87,False
cacao,Almeria,Grande,1.04,True
maíz,Granada,Mediana,4.31,False
café,Murcia,Mediana,4.88,True
trigo,Canarias,Grande,1.55,False
banano,Valencia,Pequeña,2.45,True
café,Murcia,Grande,3.27,False
trigo,Valencia,Pequeña,6.61,False
maíz,Murcia,Grande,5.04,True
cacao,Valencia,Pequeña,9.87,True
banano,Valencia,Mediana,3.91,False
cacao,Granada,Mediana,2.14,True
arroz,Almeria,Pequeña,8.78,False
banano,Murcia,Pequeña,2.0,False
café,Valencia,Mediana,9.21,True
cacao,Granada,Mediana,3.41,True
café,Murcia,Grande,7.91,True
maíz,Granada,Pequeña,4.07,True
trigo,Granada,Grande,5.03,True
cacao,Canarias,Pequeña,7.62,False
maíz,Murcia,Grande,1.99,False
trigo,Canarias,Mediana,3.93,False
banano,Granada,Mediana,7.43,False
maíz,Canarias,Grande,8.6,True
banano,Murcia,Grande,3.11,False
arroz,Granada,Pequeña,3.27,False
trigo,Granada,Grande,8.39,False
cacao,Almeria,Grande,6.79,False
banano,Canarias,Pequeña,7.4,True
trigo,Canarias,Mediana,2.03,False
café,Valencia,Mediana,5.24,False
café,Valencia,Mediana,4.32,False
banano,Valencia,Pequeña,7.85,False
banano,Valencia,Pequeña,9.56,False
maíz,Canarias,Mediana,5.78,True
arroz,Almeria,Mediana,8.47,False
arroz,Almeria,Mediana,4.75,True
trigo,Granada,Grande,4.75,False
arroz,Granada,Grande,8.65,False
banano,Canarias,Pequeña,8.19,True
banano,Granada,Mediana,6.81,True
cacao,Granada,Pequeña,9.37,True
trigo,Almeria,Mediana,4.93,False
arroz,Almeria,Grande,3.01,True
café,Almeria,Mediana,2.61,False
arroz,Canarias,Mediana,5.24,False
cacao,Almeria,Pequeña,3.88,True
banano,Granada,Grande,4.68,False
cacao,Valencia,Mediana,6.19,False
arroz,Almeria,Pequeña,6.29,False
maíz,Valencia,Mediana,4.49,True
cacao,Granada,Mediana,6.14,False
arroz,Almeria,Mediana,8.52,True
arroz,Valencia,Grande,4.08,False
trigo,Granada,Grande,8.2,True
cacao,Murcia,Pequeña,5.87,True
arroz,Almeria,Pequeña,2.35,True
trigo,Almeria,Pequeña,6.88,False
arroz,Almeria,Pequeña,3.25,True
banano,Almeria,Mediana,4.12,True
maíz,Granada,Pequeña,9.75,True
cacao,Canarias,Mediana,3.64,False
trigo,Murcia,Mediana,3.72,True
café,Canarias,Grande,2.64,True
arroz,Murcia,Pequeña,5.78,False
maíz,Almeria,Mediana,3.08,True
arroz,Almeria,Pequeña,7.48,False
cacao,Canarias,Grande,4.39,True
cacao,Granada,Mediana,7.13,True
banano,Valencia,Mediana,1.57,True
trigo,Granada,Pequeña,2.59,False
maíz,Almeria,Grande,4.62,False
banano,Valencia,Grande,6.2,True
arroz,Granada,Pequeña,7.66,False
maíz,Canarias,Mediana,9.11,True
banano,Almeria,Mediana,3.89,False
arroz,Canarias,Grande,9.27,True
trigo,Granada,Pequeña,1.55,True
maíz,Canarias,Grande,7.51,False
cacao,Almeria,Mediana,8.39,False
cacao,Granada,Pequeña,7.74,True
arroz,Granada,Grande,3.13,True
cacao,Valencia,Grande,4.24,False
arroz,Granada,Grande,7.23,False
cacao,Canarias,Mediana,9.28,False
café,Almeria,Pequeña,9.79,False
arroz,Murcia,Mediana,2.53,False
café,Canarias,Grande,8.0,False
café,Canarias,Grande,2.02,False
maíz,Almeria,Grande,4.37,True
cacao,Almeria,Grande,8.16,True
maíz,Almeria,Mediana,2.8,True
café,Granada,Grande,3.21,True
trigo,Murcia,Mediana,6.13,True
arroz,Valencia,Mediana,9.63,True
arroz,Valencia,Grande,7.74,False
trigo,Granada,Mediana,9.36,True
banano,Canarias,Pequeña,7.77,True
arroz,Murcia,Grande,1.64,False
maíz,Canarias,Grande,7.78,False
cacao,Valencia,Grande,3.85,False
trigo,Granada,Pequeña,4.21,False
trigo,Almeria,Pequeña,1.71,False
cacao,Murcia,Grande,1.71,True
trigo,Murcia,Grande,1.93,True
banano,Murcia,Grande,6.01,False
cacao,Valencia,Mediana,5.49,False
trigo,Almeria,Mediana,3.66,False
maíz,Canarias,Pequeña,5.3,False
maíz,Murcia,Pequeña,1.02,False
trigo,Valencia,Pequeña,4.85,False
arroz,Almeria,Pequeña,5.49,True
arroz,Almeria,Mediana,2.85,False
maíz,Murcia,Mediana,9.13,False
arroz,Murcia,Grande,3.21,True
arroz,Canarias,Mediana,4.45,True
cacao,Almeria,Pequeña,5.3,False
café,Valencia,Pequeña,6.78,False
trigo,Murcia,Pequeña,8.05,True
arroz,Murcia,Grande,2.34,True
trigo,Canarias,Grande,3.21,False
trigo,Granada,Mediana,8.2,False
maíz,Granada,Mediana,5.72,True
cacao,Almeria,Mediana,6.39,False
maíz,Valencia,Pequeña,6.81,True
cacao,Murcia,Pequeña,2.22,False
maíz,Murcia,Grande,6.14,True
café,Granada,Mediana,8.82,True
trigo,Granada,Grande,6.53,False
café,Granada,Grande,5.06,False
trigo,Murcia,Mediana,5.31,True
cacao,Almeria,Grande,9.52,True
trigo,Granada,Pequeña,6.97,True
trigo,Canarias,Grande,1.65,True
trigo,Valencia,Grande,1.63,False
arroz,Valencia,Grande,9.01,True
banano,Valencia,Mediana,9.43,False
cacao,Granada,Grande,6.05,False
maíz,Canarias,Mediana,2.61,False
maíz,Canarias,Pequeña,7.87,False
banano,Granada,Grande,8.47,True
arroz,Granada,Pequeña,1.9,True
trigo,Granada,Grande,6.81,False
banano,Canarias,Mediana,6.94,True
café,Almeria,Grande,4.79,True
cacao,Granada,Grande,6.48,False
trigo,Murcia,Mediana,1.06,True
arroz,Murcia,Pequeña,2.0,False
cacao,Almeria,Grande,1.42,False
arroz,Almeria,Grande,2.4,True
café,Almeria,Pequeña,9.12,False
cacao,Almeria,Pequeña,6.71,True
arroz,Almeria,Grande,1.32,False
banano,Granada,Mediana,5.35,False
café,Granada,Grande,4.13,False
banano,Almeria,Mediana,5.8,True
cacao,Granada,Mediana,9.0,True
cacao,Valencia,Grande,3.36,False
maíz,Granada,Grande,5.84,False
trigo,Almeria,Mediana,4.64,False
arroz,Murcia,Mediana,8.78,True
café,Canarias,Mediana,5.22,False
arroz,Canarias,Grande,2.38,True
banano,Murcia,Grande,4.82,True
arroz,Granada,Grande,2.06,False
banano,Murcia,Pequeña,4.81,False
banano,Murcia,Grande,3.49,False
arroz,Almeria,Mediana,7.14,True
cacao,Canarias,Mediana,6.85,False
café,Murcia,Pequeña,7.26,True
arroz,Murcia,Grande,2.41,False
cacao,Canarias,Grande,9.64,False
banano,Almeria,Pequeña,1.24,False
arroz,Murcia,Mediana,5.34,True
trigo,Canarias,Grande,9.27,False
arroz,Canarias,Grande,2.15,True
café,Granada,Pequeña,3.24,True
arroz,Granada,Pequeña,5.63,True
maíz,Granada,Mediana,6.85,True
maíz,Murcia,Grande,4.09,True
maíz,Canarias,Grande,9.51,False
arroz,Almeria,Mediana,3.45,False
café,Valencia,Pequeña,9.37,False
banano,Valencia,Grande,6.37,False
cacao,Almeria,Mediana,9.26,True
arroz,Granada,Grande,8.91,False
arroz,Granada,Mediana,4.86,True
café,Granada,Pequeña,9.25,False
banano,Murcia,Mediana,1.4,True
